"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Shanoa","Konami","Good","None",NA,NA,"Human",160,80,100,80,100
"Shantak","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Shao Jun","Ubisoft","Good","None",NA,NA,"Human",130,65,5,85,10
"Shao Kahn","Mortal Kombat","Bad","None","Red","No Hair","God / Eternal",140,70,90,95,90
"Shaper Of Worlds","Marvel Comics","Neutral","None","Black","No Hair","Cosmic Entity",200,100,100,40,100
"Sharkboy","None","None","None","None","None","None",130,65,25,50,20
"Sharra","Marvel Comics","Bad","None","None","None","God / Eternal",180,90,100,60,90
"Shathak","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Shatterstar","Marvel Comics","Good","None","Brown","Red","Mutant",150,75,25,95,20
"Shay Cormac","Ubisoft","Neutral","None","Brown","Brown","Human",130,65,6,90,10
"Shay Obsidian","Shueisha","None","None","None","None","None",160,80,6,50,12
"Shayne J'onzz","DC Comics","Good","None","Red","No Hair","Alien",130,65,60,40,45
"Shazam","DC Comics","Good","God Of Gods Shazam","Blue","Black","God / Eternal",170,85,100,65,100
"Shazam Who Laughs (King Shazam)","DC Comics","Bad","None","Blue","Black","Human",180,90,100,80,100
"Shazam, Jr.","DC Comics","Good","None","Blue","Black","Human",170,85,100,60,100
"She-Bat","DC Comics","Bad","None","Brown","Blond","Human",150,75,15,20,15
"She-Hulk","Marvel Comics","Good","Grey Hulk II,Immortal She-Hulk,She-Hulk,Winter Hulk","Green","Green","Human",130,65,100,60,100
"She-Hulk (Venomized)","Marvel Comics","Neutral","Grey Hulk II,Immortal She-Hulk,She-Hulk,Winter Hulk","Grey","Black","Human",130,65,100,75,100
"She-Ra","Mattel","Good","None","Blue","Blond","Human",160,80,100,70,60
"She-Venom","Marvel Comics","Bad","None","None","None","Symbiote",140,70,40,50,30
"Shedinja","Nintendo","Neutral","None","No eyes","No Hair","Pok�mon",100,50,25,50,1
"Sheik","Nintendo","Good","None","Red","Blond","Elf",140,70,5,90,25
"Shelly Briggs","None","None","None","None","None","None",200,100,100,100,100
"Shelob","J. R. R. Tolkien","None","None","None","None","None",150,75,25,70,50
"Shemage","Shueisha","None","None","None","None","None",100,50,1,20,5
"Shen","Riot Games","Good","None","Blue","Brown","Human",120,60,25,85,18
"Sheogorath","None","Neutral","None","Yellow","Grey","God / Eternal",200,100,100,100,100
"Sheoldred, The Whispering One","Hasbro","Bad","None",NA,NA,"None",150,75,50,65,60
"Sheriff Mills","Wildstorm","None","None","None","None","None",130,65,1,35,5
"Sherlock Holmes","None","Good","None","Blue","Black","Human",130,65,1,65,5
"Sherlock Holmes (TV Series)","Dark Horse Comics","Good","None","None","None","Human",160,80,1,60,6
"Sherno (Cosmoball)","None","Bad","None","Blue","No Hair","None",160,80,30,70,35
"Sherry LeBlanc","Shueisha","Good","None","Green","Blond","Human",160,80,1,80,10
"Shift","DC Comics","Good","None","Black","No Hair","Human",130,65,30,65,30
"Shikamaru","Shueisha","Good","None","Brown","Black","Human",180,90,6,90,18
"Shirou Ogami","None","Good","Silver Wolf",NA,"White","None",135,70,30,90,40
"Shisami","Shueisha","Bad","None","Black","No Hair","None",130,65,100,100,70
"Shisui Uchiha","Shueisha","Neutral","None","Red","Black","Human",160,80,25,100,25
"Shiva","None","None","None","None","None","None",200,100,100,100,100
"Shlithneth","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Sho Suzuki","Dark Horse Comics","Good","None","Green / Blue","Red / Orange","Human",110,55,25,50,40
"Shock Rock","Cartoon Network","None","None","None","None","None",110,55,75,60,80
"Shocker","Marvel Comics","Bad","None","Brown","Brown","Human",130,65,25,50,30
"Shocksquatch","Cartoon Network","Good","None","Green","None","Alien",100,50,85,75,85
"Shockwave","Dynamite Entertainment","Good","None",NA,NA,"Human",110,55,5,25,12
"Shockwave (IDW)","Hasbro","Neutral","None","Yellow","No Hair","Robot",190,95,100,100,45
"Shockwave (Regenesis)","IDW Publishing","Bad","None","Yellow","No Hair","Robot",190,95,75,100,100
"Shogo Amakusa","Shueisha","Good","None","Brown","Brown","Human",130,65,10,80,20
"Shoki","Shueisha","None","None","None","None","None",150,75,60,100,55
"Shosa","Shueisha",NA,"None","Blue","Green","None",120,60,75,90,80
"Shotgun Mary","Netflix","None","None","None","None","None",100,50,8,65,10
"Shoto Todoroki","Shueisha","None","None","None","None","None",145,75,25,70,40
"Shouma Shinonome","Shueisha","Bad","None","Hazel","Purple","Human",160,80,1,80,10
"Shoutmon","None","Good","OmniShoutmon","Blue","No Hair","Dragon",80,40,5,40,35
"Shoyo Hinata","Shueisha","Good","None","Brown","Orange","Human",80,40,1,5,5
"Shredder","Nickelodeon","Bad","None",NA,NA,"Human",130,65,13,90,15
"Shrek","Dreamworks","Good","None","None","None","None",144,70,30,75,75
"Shrewster","IDW Publishing","Neutral","None","Yellow","Grey","Kaiju",100,50,75,40,20
"Shriek","Marvel Comics","Good","None","Yellow / Blue","Black","None",120,60,5,30,20
"Shrieker","Universal Studios","Neutral","None",NA,NA,"Animal",60,30,1,20,5
"Shrikethorn","Universal Studios","Bad","None",NA,NA,"Kaiju",110,55,75,30,30
"Shu","Shueisha","None","None","None","None","None",160,80,70,100,60
"Shu Kurenai","None","Good","None","Red","White","None",140,70,10,75,6
"Shub-Niggurath","None","Neutral","None","None","None","God / Eternal",200,100,100,100,100
"Shudde M'ell","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Shuhei","Shueisha","Good","None","Grey","Black","Human",110,55,13,50,30
"Shuichi Kagaya (w/Claire Aoki)","Kodansha","Good","None",NA,NA,"Human",115,60,30,25,18
"Shujinko","Mortal Kombat","Good","None","Brown","White","Human",140,70,30,100,15
"Shulk","Nintendo","Good","None","Teal","Blond","Human",140,70,100,80,50
"Shuma Gorath","Marvel Comics","Bad","None","None","None","God / Eternal",200,100,100,30,100
"Shun Kazami","Sega","Good","None","Brown","Black","None",140,70,10,80,15
"Shuren","Shueisha","None","None","None","None","None",145,75,55,100,55
"Shuri","Marvel Comics","Good","None","Black","Black","Human",170,85,1,30,15
"Shuu Tsukiyama","Shueisha","Neutral","None","Red","Purple","None",120,60,25,50,20
"Shy Guy","Nintendo","Bad","None","No eyes","No Hair","None",90,45,1,1,10
"Shyvana","Riot Games","Neutral","Shyvana","Yellow / Red","Purple","Dragon",110,55,40,55,25
"Shyvana (Ruined)","Riot Games","Bad","Shyvana","Green","White","Dragon",100,50,50,55,35
"Sidra","Shueisha","Neutral","None","Black","Orange","God / Eternal",100,50,100,100,100
"Sif","Marvel Comics","Good","None","Blue","Black","Asgardian",155,80,50,90,90
"Sigismund","Warhammer 40K","None","None","None","None","None",150,75,100,95,90
"Sigmar (God King)","None","None","Sigmar (Incarnate Of Azyr)","None","None","None",200,100,100,100,100
"Sigurd","None","Good","None","Blue / White",NA,"None",130,65,90,70,60
"Sigurd The Everglorious","Marvel Comics","Good","None","Brown","Black","Asgardian",130,65,25,85,15
"Sikorsky","None","Bad","None","Blue","Blond","Human",120,60,13,70,15
"Silas","Team Epic TV","Bad","None","Green","Brown","Human",150,75,5,50,10
"Silas Karlisle","None","Good","None","Blue","Green","None",120,60,5,75,6
"Silco","Riot Games","Bad","None","Blue","Brown","Human",130,65,1,30,7
"Silence","Marvel Comics",NA,"Mania,Scream","Blue","Black","Human",110,55,30,70,60
"Silence (Klyntar Symbiote)","Marvel Comics","Neutral","None","White","Red","Alien",100,50,30,70,60
"Silk","Marvel Comics","Good","None","Brown","Black","Human",130,65,25,75,20
"Silk Man","DC Comics","Bad","None",NA,NA,"God / Eternal",200,100,100,100,100
"Silver Armlet","Sega","Bad","None",NA,NA,"Human",100,50,1,20,12
"Silver Banshee","DC Comics","Bad","None","White","White","Human",120,60,25,30,35
"Silver Dagger","Marvel Comics","None","None","None","None","None",170,85,50,65,35
"Silver Fang","Shueisha","Good","None","White","White","Human",150,75,50,100,35
"Silver Galactus","Marvel Comics","Good","None","Silver","No Hair","Cosmic Entity",200,100,100,70,100
"Silver Hydra","IDW Publishing","Neutral","None","Yellow",NA,"Kaiju",60,30,75,15,30
"Silver Sable","Marvel Comics",NA,"None","Blue","Silver","Human",140,70,5,75,15
"Silver Samurai","Marvel Comics","Bad","None","Brown","Grey","Human",130,65,25,70,20
"Silver Sentry (Silver Sentry)","Marvel Comics","Good","Sentry,Sentry,Sentry,Unified Sentry",NA,NA,"Human",190,95,100,95,100
"Silver Surfer","Marvel Comics","None","None","None","None","None",170,85,100,70,100
"Silver Surfer (Infinity Gauntlet)","Marvel Comics","Good","None","White","No Hair","Alien",200,100,100,100,100
"Silver Surfer (Omni-Max Power)","Marvel Comics","None","Captain Universe,Carnage,Gladiator Silver Surfer,Red Surfer,Silver Searcher,Silver Surfer,The Keeper","Gold","No Hair","Alien",190,95,100,95,100
"Silver Surfer (Shaper Of World's Powers)","Marvel Comics","None","None","None","None","None",170,85,100,75,100
"Silver Surfer (Sorcerer Supreme)","Marvel Comics","Good","None","Silver","No Hair","None",200,100,100,100,100
"Silver The Hedgehog","Sega","Good","None","Gold",NA,"Animal",130,65,55,100,50
"Silver The Hedgehog (Pre-Wave)","Sega","Good","None","Gold","Silver","None",150,75,100,90,100
"Silver Wolf","None","Good","Shirou Ogami","Blue / White","Blue","None",140,70,95,90,55
"Simon Belmont","Konami","Good","None","Blue","Blond","Human",130,65,100,80,100
"Simon The Digger","Kadokawa","Good","None",NA,NA,"Human",170,85,100,100,100
"Sin Tzu","DC Comics","None","None","None","None","None",190,95,20,100,15
"Sinbad","None","None","None","None","None","None",200,100,100,100,100
"Sindel","Mortal Kombat","Bad","None","White","White","Human",130,65,30,100,25
"Sinestro","DC Comics","None","None","None","None","None",130,65,50,20,80
"Sing (Kung Fu Hustle)","None","Good","None",NA,NA,"None",130,65,25,100,30
"Singed","Riot Games","Bad","None",NA,"No Hair","Human",180,90,5,25,10
"Singularity","Marvel Comics","Good","None","White","Blue","Cosmic Entity",150,75,100,35,50
"Singularity Jain","DC Comics","Bad","None","Purple","White","None",150,75,100,50,90
"Sinister Strange","Marvel Comics","Bad","Defender Strange,Doctor Strange,Doctor Strange,Doctor Strange Supreme,Supreme Strange,Zombie Doctor Strange",NA,"Black","Human",160,80,30,60,50
"Sion","Riot Games","Bad","None","Red","No Hair","Human",80,40,30,70,35
"Sir George","Cartoon Network","Good","None","None","None","None",140,70,25,70,55
"Sir Integra Fairbook Wingates Hellsing","Dark Horse Comics","Good","None","Blue","Blond","Human",150,75,1,60,10
"Sir Nighteye","Shueisha","Good","None","Yellow","Green","Human",150,75,5,45,10
"Sir Pendergast","Matt Groening","None","None","None","None","None",100,50,10,40,10
"Sir Pentious","None","Bad","None","Pink",NA,"Demon",150,75,1,35,15
"Sire Hate","Marvel Comics","None","None","None","None","None",200,100,100,100,100
"Sire of All Vampires","DC Comics","Bad","None","Red","Blond","Vampire",130,65,100,60,100
"Siren Head","None","Bad","None","No eyes","No Hair","Radiation",95,50,90,12,100
"Sirenjaw","None","Neutral","None",NA,NA,"Animal",70,35,25,20,17
"Sirius Black","J. K. Rowling","Good","None","Brown","Brown","Human",130,65,1,55,10
"Siryn","Marvel Comics","Bad","Morrigan","Blue","Strawberry Blond","None",120,60,8,40,25
"Sister Dagger","Marvel Comics","Good","None","Brown","Black","Human",120,60,5,75,10
"Sister Grimm","Marvel Comics","Good","None","Brown","Black","Human",130,65,13,30,40
"Sister Grimm (House OF Hexes)","None","Good","None","Red","Red / Grey","Human",155,80,25,12,45
"Sisu","Disney","Good","None","Black","Blue","Dragon",85,45,30,45,15
"Sithis","None","None","None","None","None","None",200,100,100,100,100
"Sivir","Riot Games","Neutral","None","Blue","Black","Human",115,60,13,75,10
"Six","None","None","None","None","None","None",180,90,1,80,1
"Sixes","George Lucas",NA,"None",NA,NA,"None",80,40,1,65,20
"Sixsix","Cartoon Network","Neutral","None",NA,"No Hair","Alien",130,65,25,90,30
"Sixtat","George Lucas","Neutral","None","Orange","No Hair","None",88,45,1,40,12
"Skaar","Marvel Comics","Good","None","Green","Black","None",130,65,100,85,100
"Skarbrand","Warhammer 40K","None","None","None","None","None",180,90,100,100,100
"Skarlet","Mortal Kombat","Bad","None","Brown","Red","None",120,60,25,90,20
"Skeet","None","None","None","None","None","None",110,55,1,20,10
"Skeetera","IDW Publishing","Neutral","None","Yellow",NA,"Kaiju",70,35,75,20,20
"Sker Buffalo","None","Neutral","None",NA,NA,"Animal",60,30,25,10,13
"Skerren","None","Neutral","None",NA,"Black","Human",110,55,1,65,10
"Skid & Pump","Newgrounds","Good","None","Black","Black","Human",80,40,1,5,15
"Skipper","Dreamworks","Good","None",NA,NA,"Animal",130,65,1,30,6
"Skirn: Breaker Of Men","Marvel Comics","None","Titania","None","None","None",80,40,100,60,15
"Skull Devil","Universal Studios","Bad","None",NA,NA,"Kaiju",60,30,75,15,20
"Skull Knight","None","None","None","None","None","None",125,65,25,100,25
"Skull Socerer","Lego","Bad","None",NA,NA,"None",120,60,75,60,80
"Skullcrawler","Universal Studios","Bad","None",NA,NA,"Kaiju",90,45,25,30,13
"Skurd","Cartoon Network","Neutral","None","None","None","None",160,80,5,60,75
"Sky Spirit","None","Good","None","Yellow (without irises)","Yellow","Deity",82,40,1,1,7
"Skylar Storm","Disney","Good","None","Brown","Brown","Alien",115,60,25,80,16
"Skylor","Lego","Good","None","Black","Auburn","Lego",130,65,40,95,30
"Skylynx","Hasbro","Bad","None","Yellow (without irises)",NA,"None",83,40,25,35,40
"Skyquake","Hasbro","Bad","None","Red",NA,"None",90,45,25,65,30
"Slaanesh","Warhammer 40K","None","None","None","None","None",200,100,100,100,100
"Slade","DC Comics","Bad","None",NA,NA,"None",170,85,20,95,20
"Slade (Power Of Trigon) (Teen Titans)","DC Comics","Bad","None",NA,NA,"None",160,80,55,100,50
"Slan","Dark Horse Comics","Bad","None",NA,NA,"Demon",180,90,50,60,35
"Slattern","Universal Studios","Bad","None",NA,NA,"Kaiju",115,60,75,40,35
"Sleeper","Marvel Comics",NA,"None","Red","No Hair","Symbiote",120,60,30,70,25
"Sleeper (Klyntar Symbiote)","Marvel Comics","Neutral","None","Red","No Hair","Alien",100,50,30,70,50
"Slenderman","None","Bad","Slenderman","No eyes","No Hair","Inhuman",185,95,100,60,100
"Sligguth","Marvel Comics","None","None","None","None","None",200,100,100,90,100
"Slo-Mo","None","None","None","None","None","None",90,45,1,25,5
"Slorioth","Marvel Comics","None","None","None","None","None",200,100,100,100,100
"Sloth","Square Enix","Bad","None",NA,"Black","Human-Inhuman",72,35,25,80,20
"Smaug","J. R. R. Tolkien","Bad","None",NA,NA,"Dragon",140,70,35,40,35
"Smenkhara","None","None","None","None","None","None",200,100,100,95,100
"Smile Dog","None","Bad","None","Black","Black","Animal",103,50,13,5,18
"Smokey Bear","Hanna-Barbera","None","None","None","None","None",100,50,95,50,35
"Snake-Eyes","IDW Publishing","Good","None",NA,NA,"Human",130,65,5,80,10
"Snake Eyes","IDW Publishing","Good","None","Blue","Blond","Human",130,65,10,95,15
"Snake Eyes (2021)","IDW Publishing","Good","None","Black","Black","Human",130,65,1,80,10
"Snare-Oh","Cartoon Network","Good","None","Green","None","Alien",100,50,25,90,80
"Snipe","Shueisha","Good","None",NA,NA,"Human",110,55,15,40,20
"Snorlax","Nintendo","Neutral","None","None","No Hair","None",100,50,100,60,60
"Snow Ghost","Hanna-Barbera","Bad","None","Yellow","White","Human",90,45,25,9,15
"Soap","Activision Blizzard","Good","None","Blue","Black","Human",125,65,5,65,8
"Sofia","None","Neutral","None","Brown","Brown","Human",130,65,1,80,10
"Sofia Stepanova","Warner Brothers","Bad","None","Blue","Blond","Human",120,60,1,75,10
"Soifon","Shueisha","Good","None","Grey","Black / Blue","None",125,65,25,75,30
"Sokka","Dark Horse Comics","Good","None","Blue","Brown","Human",150,75,5,100,10
"Solar Macharius","Warhammer 40K","Good","None",NA,NA,"Human",175,90,100,100,55
"Solar Smasher","None","None","None","None","None","None",90,45,100,50,100
"Solaris","Sega","Bad","None","No eyes","No Hair","Deity",170,85,100,60,100
"Soldier Boy","Dynamite Entertainment","Good","None","Green","Brown","Human",130,65,25,85,20
"Solf J. Kimblee","Square Enix","Bad","None","Amber","Black","Human",125,65,1,65,6
"Solia","Shueisha","None","None","None","None","None",150,75,75,100,60
"Solid Snake","Konami","Good","None","Blue","Brown","Human",180,90,50,100,40
"Solomon","None","None","None","None","None","None",120,60,100,100,50
"Solomon (Fate)","None","None","None","None","None","None",180,90,100,60,100
"Solomon Grundy","DC Comics","Neutral","None","Brown","White","Human",55,30,25,20,40
"Solstice","DC Comics","Good","None","Blue","Black","Human",120,60,5,45,20
"Soma Cruz","Konami","Good","None","Grey","White","Human",190,95,100,100,100
"Sombra","Activision Blizzard","Neutral","None","Purple","Brown","Human",180,90,1,100,15
"Son Goku (Dragon Ball GT)","Shueisha","Good","Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Goku,Golden Oozaru,Kakarot (Dragon Ball Sai),Kid Goku,Oozaru","Black","Black","Saiyan",110,55,100,100,80
"Sona","Riot Games","Good","None","Blue","Blue","Human",130,65,1,20,10
"Songbird","Marvel Comics","Good","Screaming Mimi","Green","Red / White","Human",130,65,15,70,25
"Sonic The Hedgehog","Sega","Good","Ultra Sonic","Green","Blue","Animal",115,60,55,55,100
"Sonic The Hedgehog (Pre-Wave)","None","Good","None","Green","Blue","Animal",170,85,100,95,100
"Sonic.EXE","None","None","None","None","None","None",200,100,100,50,100
"Sonya Blade","Mortal Kombat","Good","None",NA,"Blond","Human",125,65,25,85,15
"Sooga","Nintendo","Bad","None",NA,NA,"None",120,60,25,100,40
"Sophie Cuckoo","Marvel Comics",NA,"None","Blue","Blond","None",110,55,25,15,70
"Sora","Square Enix","Good","None","Blue","Brown","Human",110,55,100,95,70
"Sora Perse","Shueisha","Good","None","Green","Cyan","Human",150,75,1,90,5
"Soraka","Riot Games","Good","None","Gold","White","Celestials",170,85,25,15,60
"Soren","None","Good","None",NA,"Blond","Human",85,45,6,60,10
"Sorin Markov (Post-Mending)","Hasbro","Neutral","None","Yellow","White","Human",160,80,25,70,55
"Sorrel","Shueisha","None","None","Red","White","None",90,45,75,80,55
"Soshiro Hoshina","Shueisha","Good","None","Red","Purple","Human",130,65,25,75,25
"Sotha Sil","None","None","None","None","None","None",200,100,100,100,100
"Soul King","Shueisha","Neutral","None","None","None","God / Eternal",190,95,100,100,100
"South Terano","Kodansha",NA,"None",NA,NA,"None",55,30,6,70,9
"Souther","Shueisha",NA,"None",NA,NA,"None",160,80,80,100,65
"SP//dr","Sony Pictures","Good","None",NA,"Black","None",120,60,25,50,15
"Space Boy (Peter Smith)","None","Good","None","Blue","White","Human",90,45,1,10,35
"Space Girl","None",NA,"Lil Amy","Brown","Orange","Human",120,60,1,50,6
"Space Racer","Image Comics","Good","None","Black","No Hair","None",140,70,25,75,40
"SpaceGodzilla (Heisei)","IDW Publishing","Bad","None","Red",NA,"Kaiju",115,60,75,30,45
"Sparda","Capcom","Good","None","Blue","White","Demon",170,85,100,90,100
"Spark","Disney","Good","None","Green","Blond","Human",110,55,25,55,14
"Spark Man","Capcom","Good","None",NA,NA,"Android",100,50,1,6,6
"Sparky","Image Comics","Good","None","Black",NA,"Human",110,55,1,20,10
"Spartacus","None","Good","None",NA,NA,"Human",120,60,5,75,10
"Spartan","DC Comics","Good","None",NA,NA,"Human",130,65,1,65,10
"Spawn","Image Comics","Good","Divine Spawn,God Spawn,Hell King Spawn,Omega Spawn,Plague Spawn,Resurrection Spawn,Spawn","Green","No Hair","Demon",170,85,100,90,100
"Spawn (Classic)","Image Comics","Good","Divine Spawn,God Spawn,Hell King Spawn,Omega Spawn,Plague Spawn,Resurrection Spawn,Spawn","Brown","Black","Demon",170,85,100,95,100
"Spec","None","Bad","None","Brown","No Hair","Human",100,50,25,60,20
"Special Officer Russell Adler","Activision Blizzard","Neutral","None","Blue","Brown","None",130,65,6,65,8
"Spectra Phantom","Sega","Good","None","Blue","Blond","Alien",160,80,10,60,10
"Spectral Vision","Marvel Comics","Neutral","Vision","Blue","No Hair","Robot",160,80,75,65,40
"Spectre","DC Comics","None","Black Lantern,Green Lantern,Green/Blue Lantern,Orange Lantern,Parallax,Parallax,Red Lantern,Spectre,White Lantern,Yellow Lantern","Green","No Hair","Cosmic Entity",200,100,100,100,100
"Spectre (Asmodel)","DC Comics","None","None","None","None","None",200,100,100,100,100
"Spectre (Backed By The Presence)","DC Comics","Good","Black Lantern,Green Lantern,Green/Blue Lantern,Orange Lantern,Parallax,Parallax,Red Lantern,Spectre,White Lantern,Yellow Lantern",NA,NA,"None",200,100,100,100,100
"Spectre (Crisis on Infinite Earths)","DC Comics","Neutral","None","White",NA,"Cosmic Entity",200,100,100,100,100
"Spectre (Madame Xanadu)","DC Comics","None","None","Green","Black","God / Eternal",200,100,100,100,100
"Spectre (Spirit of Darkness)","DC Comics","Bad","None",NA,NA,"None",200,100,100,100,100
"Spectre Oversoul","DC Comics","Good","Primal Spectre,Red Lantern,The Spectre","White","No Hair","God / Eternal",200,100,100,100,100
"Spectrum","Marvel Comics","None","Photon II,Pulsar","None","None","None",160,80,50,70,100
"Speed","Marvel Comics","Good","None","Hazel","Brown","Human",70,35,1,5,10
"Speed-o'-Sound Sonic","Shueisha","Bad","None","Black","Black","Human",120,60,25,95,30
"Speed Demon","Marvel Comics","Bad","None","None","None","None",130,65,20,70,30
"Speed Racer","Toei Animation","Good","None","Brown","Brown","Human",110,55,1,45,10
"Speedfreek","Marvel Comics","Bad","None","Brown","Brown","Human",90,45,9,19,15
"Speedwagon","Shueisha","None","None","None","None","None",170,85,25,95,20
"Speedy","DC Comics","Good","None",NA,"Orange","Human",130,65,1,90,10
"Sphinx","Marvel Comics","Neutral","None","Red","No Hair","Mutant",160,80,100,80,100
"Spider-Carnage","Marvel Comics","Bad","Chasm,Scarlet Spider","Hazel","Brown","Human",140,70,55,60,35
"Spider-Girl","Marvel Comics","Neutral","None","Grey","Brown / Black","Human",120,60,30,50,25
"Spider-Gwen","Marvel Comics","Good","Ghost-Spider,Gwenom,Spider-Gwen","Blue","Blond","Human",160,80,25,65,30
"Spider-Ham","Sony Pictures","Good","None",NA,NA,"Animal",90,45,25,50,15
"Spider-Hulk","Marvel Comics","Good","Cyborg Spider-Man,Iron Spider,Man-Spider,Savage Spider-Man,Spider-Man,Spider-Man,Spider-Man,Spider-Man,Spider-Man Unlimited,The Arachknight","Green","Black","Human",130,65,100,70,85
"Spider-Man","Marvel Comics","Good","Spider-Man,The Human Spider","Grey","Brown","Human",140,70,25,65,20
"Spider-Man (Anti-Ock Suit)","Marvel Comics","Good","Spider-Man","Hazel","Brown","Human",150,75,35,70,30
"Spider-Man (Beyonders Powers)","Marvel Comics","Good","Cyborg Spider-Man,Iron Spider,Man-Spider,Savage Spider-Man,Spider-Hulk,Spider-Man,Spider-Man,Spider-Man,Spider-Man Unlimited,The Arachknight","Hazel","Brown","Human",200,100,100,100,100
"Spider-Man (Black)","Marvel Comics","Bad","Cyborg Spider-Man,Iron Spider,Man-Spider,Savage Spider-Man,Spider-Hulk,Spider-Man,Spider-Man,Spider-Man,Spider-Man Unlimited,The Arachknight","Brown","Brown","Human",180,90,100,80,20
"Spider-Man (Infinity Gauntlet)","Marvel Comics","None","None","None","None","None",200,100,100,100,100
"Spider-Man (Phoenix Force)","Marvel Comics","None","Cyborg Spider-Man,Iron Spider,Man-Spider,Savage Spider-Man,Spider-Hulk,Spider-Man,Spider-Man,Spider-Man,Spider-Man Unlimited,The Arachknight","Yellow / Red","Brown","Human",180,90,100,80,100
"Spider-Man (Stealth Suit)","Marvel Comics","Good","Iron Spider,Spider-Man,Spider-Man,Zombie Hunter Spiderman","Brown","Brown","Human",140,70,25,40,20
"Spider-Man (What If..?)","Marvel Comics","None","Iron Spider,Spider-Man,Spider-Man,Zombie Hunter Spiderman","None","None","None",120,60,25,60,20
"Spider-Man Noir","Sony Pictures","None","None","None","None","None",110,55,25,65,15
"Spider-Queen","Marvel Comics","Bad","None","Brown","Black","Human",140,70,25,70,20
"Spider-Woman","Marvel Comics","Good","None","Green","Red","Human",120,60,50,80,30
"Spider-Woman II","Marvel Comics","Good","Arachne,Madame Web","Blue","Strawberry Blond","Human",110,55,60,50,50
"Spidermonkey","Cartoon Network","Good","None","Green","Blue","Alien",130,65,25,90,30
"Spidey","Marvel Comics","Good","None","Green","Brown","Human",140,70,25,40,30
"Spike","Nintendo","Bad","None","Teal","Blue","None",90,45,1,10,10
"Spin","Marvel Comics","Good","None","Yellow","Brown","Human",100,50,25,40,30
"Spinel (hurt)","Cartoon Network","Bad","Spinel","Pink","Magenta","None",95,50,50,45,50
"Spinel (reset)","Cartoon Network","Good","Spinel","Pink","Magenta","None",89,45,50,5,50
"Spinner","Shueisha","Bad","None","Pink","Pink","Animal",100,50,13,70,15
"Spinneret","Marvel Comics","Bad","None","Green","Red","Human",130,65,25,70,15
"Spinosaurus","Universal Studios",NA,"None",NA,NA,"Animal",80,40,25,30,15
"Spirit","None","None","None","None","None","None",200,100,100,100,100
"Spirit Dragon","Dreamworks","Good","None",NA,"Black","Animal",130,65,100,100,45
"Spirit Rider","Marvel Comics",NA,"None","Brown","Black","Human",120,60,100,40,100
"Spirit Tiger","None","Neutral","None","White","White","Animal",80,40,25,35,14
"Spite","None","Bad","Spite","White","Black","Human",120,60,30,60,20
"Spite (Agent of Gloom)","None","Bad","Spite",NA,NA,"Human",120,60,50,70,40
"Spitter","Cartoon Network","Good","None","Green","None","Alien",100,50,25,35,50
"Stanbuster","Marvel Comics","Good","None",NA,NA,"None",200,100,100,100,100
"Star-Lord","Marvel Comics","Good","Old Man Quill","Blue","Blond","Human-Spartoi",160,80,25,70,40
"Star-Lord (Celestial Power)","Marvel Comics","Good","Star-Lord","Green","Blond","None",140,70,100,65,40
"Star-Lord (What If...?)","Marvel Comics","Good","None","Black","Black","Human",130,65,1,70,10
"Star (Reality Stone)","Marvel Comics","None","None","Hazel","Blond","Human",110,55,1,25,7
"Star And Stripe","Shueisha","Good","None","Blue","Blond","Human",130,65,18,85,50
"Star Butterfly","Disney","None","None","None","None","None",110,55,1,65,80
"Star Child","Marvel Comics","Good","None","None","None","Celestials",180,90,100,70,70
"Star Mother","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Star Sapphire","DC Comics","Bad","None","Pink","Black","Human",110,55,45,25,65
"Star Vampires","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Starbeard","Cartoon Network","Neutral","None","White","No Hair","Cosmic Entity",200,100,100,100,100
"Starbrand","Marvel Comics","Good","None","Blue","Blond","Human",65,35,30,9,35
"Starbreaker","DC Comics","Bad","None","Red","Black","Alien",170,85,100,90,100
"Stardream","Nintendo","Bad","None",NA,NA,"Robot",199,100,25,15,60
"Stardream (haltman absorbed)","Nintendo","Bad","None","Purple","No Hair","Cosmic Entity",200,100,55,25,60
"Stardust","Marvel Comics","Good","None","None","None","None",120,60,100,80,100
"Starfire","DC Comics","Good","None","Green","Auburn","Tamaranean",140,70,75,80,75
"Starfox","Marvel Comics","Good","None","Blue","Red","Eternal",150,75,50,70,80
"Stargirl","DC Comics","None","None","None","None","None",120,60,25,65,25
"Starheart Eclipso","DC Comics","Bad","None","Red","Black","None",200,100,100,80,100
"Starkiller","George Lucas","Good","Lord Starkiller","Brown","Brown","Human",150,75,95,100,65
"Starkiller (clone)","George Lucas","Good","None","Brown","Brown","Human",140,70,95,75,55
"Starlenea","None","None","None","None","None","None",90,45,25,20,15
